ticker,instrument,name,sector,industry,currency,created_date
CPB,stock,Campbell Soup,Consumer Staples,Packaged Foods & Meats,USD,2020-10-21 02:46:36.159667
COF,stock,Capital One Financial,Financials,Consumer Finance,USD,2020-10-21 02:46:36.159667
CAH,stock,Cardinal Health Inc.,Health Care,Health Care Distributors,USD,2020-10-21 02:46:36.159667
KMX,stock,Carmax Inc,Consumer Discretionary,Specialty Stores,USD,2020-10-21 02:46:36.159667
CCL,stock,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",USD,2020-10-21 02:46:36.159667
CARR,stock,Carrier Global,Industrials,Building Products,USD,2020-10-21 02:46:36.159667
CTLT,stock,Catalent,Health Care,Pharmaceuticals,USD,2020-10-21 02:46:36.159667
CAT,stock,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,USD,2020-10-21 02:46:36.159667
CBOE,stock,Cboe Global Markets,Financials,Financial Exchanges & Data,USD,2020-10-21 02:46:36.159667
CBRE,stock,CBRE Group,Real Estate,Real Estate Services,USD,2020-10-21 02:46:36.159667
CDW,stock,CDW,Information Technology,Technology Distributors,USD,2020-10-21 02:46:36.159667
CE,stock,Celanese,Materials,Specialty Chemicals,USD,2020-10-21 02:46:36.159667
CNC,stock,Centene Corporation,Health Care,Managed Health Care,USD,2020-10-21 02:46:36.159667
CNP,stock,CenterPoint Energy,Utilities,Multi-Utilities,USD,2020-10-21 02:46:36.159667
CERN,stock,Cerner,Health Care,Health Care Technology,USD,2020-10-21 02:46:36.159667
CF,stock,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,USD,2020-10-21 02:46:36.159667
SCHW,stock,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,USD,2020-10-21 02:46:36.159667
CHTR,stock,Charter Communications,Communication Services,Cable & Satellite,USD,2020-10-21 02:46:36.159667
CVX,stock,Chevron Corp.,Energy,Integrated Oil & Gas,USD,2020-10-21 02:46:36.159667
CMG,stock,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,USD,2020-10-21 02:46:36.159667
CB,stock,Chubb Limited,Financials,Property & Casualty Insurance,USD,2020-10-21 02:46:36.159667
CHD,stock,Church & Dwight,Consumer Staples,Household Products,USD,2020-10-21 02:46:36.159667
CI,stock,CIGNA Corp.,Health Care,Managed Health Care,USD,2020-10-21 02:46:36.159667
CINF,stock,Cincinnati Financial,Financials,Property & Casualty Insurance,USD,2020-10-21 02:46:36.159667
CTAS,stock,Cintas Corporation,Industrials,Diversified Support Services,USD,2020-10-21 02:46:36.159667
CSCO,stock,Cisco Systems,Information Technology,Communications Equipment,USD,2020-10-21 02:46:36.159667
C,stock,Citigroup Inc.,Financials,Diversified Banks,USD,2020-10-21 02:46:36.159667
CFG,stock,Citizens Financial Group,Financials,Regional Banks,USD,2020-10-21 02:46:36.159667
CTXS,stock,Citrix Systems,Information Technology,Application Software,USD,2020-10-21 02:46:36.159667
CLX,stock,The Clorox Company,Consumer Staples,Household Products,USD,2020-10-21 02:46:36.159667
CME,stock,CME Group Inc.,Financials,Financial Exchanges & Data,USD,2020-10-21 02:46:36.159667
CMS,stock,CMS Energy,Utilities,Multi-Utilities,USD,2020-10-21 02:46:36.159667
KO,stock,Coca-Cola Company,Consumer Staples,Soft Drinks,USD,2020-10-21 02:46:36.159667
CTSH,stock,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,USD,2020-10-21 02:46:36.159667
CL,stock,Colgate-Palmolive,Consumer Staples,Household Products,USD,2020-10-21 02:46:36.159667
CMCSA,stock,Comcast Corp.,Communication Services,Cable & Satellite,USD,2020-10-21 02:46:36.159667
CMA,stock,Comerica Inc.,Financials,Diversified Banks,USD,2020-10-21 02:46:36.159667
CAG,stock,Conagra Brands,Consumer Staples,Packaged Foods & Meats,USD,2020-10-21 02:46:36.159667
CXO,stock,Concho Resources,Energy,Oil & Gas Exploration & Production,USD,2020-10-21 02:46:36.159667
COP,stock,ConocoPhillips,Energy,Oil & Gas Exploration & Production,USD,2020-10-21 02:46:36.159667
ED,stock,Consolidated Edison,Utilities,Electric Utilities,USD,2020-10-21 02:46:36.159667
STZ,stock,Constellation Brands,Consumer Staples,Distillers & Vintners,USD,2020-10-21 02:46:36.159667
COO,stock,The Cooper Companies,Health Care,Health Care Supplies,USD,2020-10-21 02:46:36.159667
CPRT,stock,Copart Inc,Industrials,Diversified Support Services,USD,2020-10-21 02:46:36.159667
GLW,stock,Corning Inc.,Information Technology,Electronic Components,USD,2020-10-21 02:46:36.159667
CTVA,stock,Corteva,Materials,Fertilizers & Agricultural Chemicals,USD,2020-10-21 02:46:36.159667
COST,stock,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,USD,2020-10-21 02:46:36.159667
CCI,stock,Crown Castle International Corp.,Real Estate,Specialized REITs,USD,2020-10-21 02:46:36.159667
CSX,stock,CSX Corp.,Industrials,Railroads,USD,2020-10-21 02:46:36.159667
CMI,stock,Cummins Inc.,Industrials,Industrial Machinery,USD,2020-10-21 02:46:36.159667
CVS,stock,CVS Health,Health Care,Health Care Services,USD,2020-10-21 02:46:36.159667
DHI,stock,D. R. Horton,Consumer Discretionary,Homebuilding,USD,2020-10-21 02:46:36.159667
DHR,stock,Danaher Corp.,Health Care,Health Care Equipment,USD,2020-10-21 02:46:36.159667
DRI,stock,Darden Restaurants,Consumer Discretionary,Restaurants,USD,2020-10-21 02:46:36.159667
DVA,stock,DaVita Inc.,Health Care,Health Care Facilities,USD,2020-10-21 02:46:36.159667
DE,stock,Deere & Co.,Industrials,Agricultural & Farm Machinery,USD,2020-10-21 02:46:36.159667
DAL,stock,Delta Air Lines Inc.,Industrials,Airlines,USD,2020-10-21 02:46:36.159667
XRAY,stock,Dentsply Sirona,Health Care,Health Care Supplies,USD,2020-10-21 02:46:36.159667
DVN,stock,Devon Energy,Energy,Oil & Gas Exploration & Production,USD,2020-10-21 02:46:36.159667
DXCM,stock,DexCom,Health Care,Health Care Equipment,USD,2020-10-21 02:46:36.159667
FANG,stock,Diamondback Energy,Energy,Oil & Gas Exploration & Production,USD,2020-10-21 02:46:36.159667
DLR,stock,Digital Realty Trust Inc,Real Estate,Specialized REITs,USD,2020-10-21 02:46:36.159667
DFS,stock,Discover Financial Services,Financials,Consumer Finance,USD,2020-10-21 02:46:36.159667
DISCA,stock,"Discovery, Inc.",Communication Services,Broadcasting,USD,2020-10-21 02:46:36.159667
DISCK,stock,"Discovery, Inc.",Communication Services,Broadcasting,USD,2020-10-21 02:46:36.159667
DISH,stock,Dish Network,Communication Services,Cable & Satellite,USD,2020-10-21 02:46:36.159667
DG,stock,Dollar General,Consumer Discretionary,General Merchandise Stores,USD,2020-10-21 02:46:36.159667
DLTR,stock,Dollar Tree,Consumer Discretionary,General Merchandise Stores,USD,2020-10-21 02:46:36.159667
D,stock,Dominion Energy,Utilities,Electric Utilities,USD,2020-10-21 02:46:36.159667
DPZ,stock,Domino's Pizza,Consumer Discretionary,Restaurants,USD,2020-10-21 02:46:36.159667
DOV,stock,Dover Corporation,Industrials,Industrial Machinery,USD,2020-10-21 02:46:36.159667
DOW,stock,Dow Inc.,Materials,Commodity Chemicals,USD,2020-10-21 02:46:36.159667
DTE,stock,DTE Energy Co.,Utilities,Multi-Utilities,USD,2020-10-21 02:46:36.159667
